CSC,UPC
769008,8500001965
769555,8515500003
769925,8380404719
770380,770380
770450,8469250574
770478,8469251054
808050,8210073857
808580,808580
808960,82100179241
809000,8210017902
809003,8210017906
809023,8210017907
809124,809124
809134,8500002901
809138,8500002989
809630,8500000730
810566,8500027073
812000,8439125382
812131,8312001366
812132,8312001364
814575,8500000768
814578,8500000124
816170,816170
900025,900025
900030,900030
900034,900034
900035,900035
900046,900046
900057,900057
900058,900058
900074,900074
900114,900114
900115,900115
900116,900116
900120,900120
900125,900125
900126,900126
900127,900127
900128,900128
900129,900129
900269,900269
900285,900285
900286,900286
900287,900287
900288,900288
900289,900289
900290,900290
900310,900310
900312,900312
900318,900318
900321,900321
900322,900322
900323,900323
900324,900324
900325,900325
900333,900333
900334,900334
900421,900421
900422,900422
900423,900423
900424,900424
900427,900427
900437,900437
900440,900440
900441,900441
900443,900443
900451,900451
900457,900457
900459,900459
900469,900469
900512,900512
900525,900525
900538,900538
900550,900550
900637,900637
900649,900649
900663,900663
900664,900664
900666,900666
900671,900671
900672,900672
900673,900673
900674,900674
900689,900689
900694,900694
900695,900695
900696,900696
900697,900697
900698,900698
900699,900699
900700,900700
900885,900885
900888,900888
900903,900903
900909,900909
900918,900918
900920,900920
900921,900921
900922,900922
900924,900924
900925,900925
900926,900926
900928,900928
900934,900934
900945,900945
900946,900946
900947,900947
900949,900949
901163,901163
901186,901186
901202,901202
901348,901348
901369,901369
901393,901393
901395,901395
901427,901427
901443,901443
901444,901444
901445,9680268959
901469,901469
901480,901480
901488,9159699241
901489,9159699242
901490,901490
901491,9159699246
901565,901565
901573,901573
901574,901574
901576,901576
901579,901579
901585,901585
901587,901587
901601,901601
901602,901602
901605,901605
901624,901624
901637,901637
901656,901656
901660,901660
901667,901667
901677,901677
901678,901678
901771,901771
901774,901774
901814,901814
901815,901815
901816,901816
901818,901818
901823,901823
901824,901824
901825,901825
901826,901826
901829,901829
901830,901830
901832,901832
901839,901839
901841,901841
901850,901850
901851,901851
901946,901946
901949,901949
901950,901950
901951,901951
901952,901952
901953,901953
901954,901954
901955,901955
901964,901964
901966,901966
901969,9565220050
901971,901971
901976,901976
901977,901977
901989,901989
902004,902004
902005,902005
902147,902147
902148,902148
902166,902166
902176,902176
902177,902177
902227,902227
902239,902239
902241,902241
902245,902245
902254,902254
902262,902262
902265,902265
902269,902269
902301,902301
902302,902302
902305,902305
902308,902308
902470,902470
902482,902482
902483,902483
902499,902499
902505,902505
902518,902518
902520,902520
902521,902521
902522,902522
902523,9991100048
902524,902524
902541,902541
902543,902543
902552,902552
902573,902573
902578,902578
902579,902579
902729,902729
902736,902736
902748,902748
902754,902754
902755,902755
902767,902767
902773,902773
902777,902777
902780,902780
902782,902782
902785,902785
902791,902791
902793,902793
902801,902801
902806,902806
902814,902814
902816,902816
902927,902927
902929,902929
902930,902930
902935,902935
902936,902936
902943,902943
902949,902949
902950,902950
902952,902952
902957,902957
902965,902965
902966,902966
902977,902977
902979,902979
902980,902980
902986,902986
902988,902988
903731,903731
903743,903743
